,thresh,skip,moving avg,Text File,Time,bot ax,bot ay,bot az,bot gx,bot gy,bot gz,bot a_mag,bot avg_a_mag,top ax,top ay,top az,top gx,top gy,top gz,top a_mag,top avg_a_mag,diff avg_a_mag,diff a_mag,ambient_pressure,ambient_temp,shock_pressure
320,-4.786357905922184,10,5,1,320,0.71,-0.39,1.1,93.66,49.09,-49.63,1.3660893090000001,1.828604462,-0.94,-0.43,0.57,-11.95,6.89,22.87,1.180423653,1.770087954,-0.058516507999999995,-0.185665656,1018,43,100
321,-4.786357905922184,10,5,1,321,-3.89,2.44,5.52,76.22,15.3,-46.22,7.180257656,1.9519601709999999,-0.91,-0.5,0.55,-11.77,7.32,24.33,1.174989362,1.774721899,-0.177238272,-6.0052682939999995,1018,43,100
322,-4.786357905922184,10,5,1,322,-9.38,7.52,7.17,30.98,-40.55,-38.66,13.99798914,2.224617899,-0.88,-0.47,0.51,-11.89,6.83,25.24,1.12044634,1.7784964490000001,-0.44612145,-12.877542800000002,1018,43,100
323,-4.786357905922184,10,5,1,323,-4.03,1.94,-2.1,12.2,-80.49,-20.79,4.941103116,2.312525751,-0.89,-0.3,0.51,-11.71,6.4,25.67,1.068737573,1.781819054,-0.5307066970000001,-3.872365543,1018,43,100
324,-4.786357905922184,10,5,1,324,0.55,-0.39,-3.57,22.87,-30.73,-34.33,3.6331116139999997,2.378719598,-0.91,-0.14,0.52,-9.39,5.49,26.59,1.057402478,1.78435313,-0.5943664679999999,-2.575709136,1018,43,100
325,-4.786357905922184,10,5,1,325,-0.06,1.01,0.73,63.41,39.45,-45.0,1.247637768,2.382533764,-0.91,-0.05,0.47,-6.28,5.0,27.26,1.02542674,1.785829061,-0.596704702,-0.222211028,1018,43,100
326,-4.786357905922184,10,5,1,326,-1.2,0.87,2.72,63.66,39.27,-37.8,3.097628125,2.404469829,-0.91,0.05,0.48,-3.72,4.63,27.68,1.030048543,1.7870248780000002,-0.617444951,-2.067579582,1018,43,100
327,-4.786357905922184,10,5,1,327,0.4,-0.55,1.74,15.67,5.0,-31.16,1.868180933,2.415381983,-0.9,0.15,0.5,-0.43,4.51,28.29,1.040432602,1.788247821,-0.627134162,-0.8277483309999999,1018,43,100
328,-4.786357905922184,10,5,1,328,-1.77,1.05,-0.02,-29.94,-21.28,-23.11,2.058105925,2.436725928,-0.85,0.13,0.51,3.6,4.7,28.84,0.999749969,1.788674479,-0.648051449,-1.058355957,1018,43,100
329,-4.786357905922184,10,5,1,329,-2.24,-0.16,-2.03,-30.49,-32.93,-14.94,3.027226453,2.4628669690000002,-0.82,0.08,0.5,7.38,5.0,28.96,0.9637427040000001,1.7882191530000002,-0.6746478159999999,-2.063483749,1018,43,100
330,-4.786357905922184,10,5,1,330,-1.96,-0.54,-1.38,-6.52,-19.15,-24.82,2.457152824,2.497763622,-0.81,0.01,0.49,9.82,5.24,28.66,0.9467312179999999,1.78763763,-0.710125992,-1.510421605,1018,43,100
331,-4.786357905922184,10,5,1,331,-0.74,0.88,0.46,14.94,3.9,-40.3,1.238386046,2.494265463,-0.82,-0.05,0.48,12.07,5.37,28.72,0.951472543,1.7875223690000002,-0.706743094,-0.286913503,1018,43,100
332,-4.786357905922184,10,5,1,332,0.3,0.09,0.82,19.21,6.16,-38.72,0.877781294,2.446820781,-0.85,-0.09,0.5,13.6,4.94,28.78,0.990252493,1.7877723680000002,-0.6590484129999999,0.11247119900000001,1018,43,100
333,-4.786357905922184,10,5,1,333,0.01,0.38,-1.09,4.57,1.04,-36.04,1.154382952,2.38324403,-0.84,-0.1,0.48,13.96,4.45,28.54,0.972625313,1.786769069,-0.596474961,-0.181757639,1018,43,100
